attack_cat,label,id
Normal,0,192
DoS,1,193
Normal,0,194
Generic,1,195
Fuzzers,1,196
Normal,0,197
Exploits,1,198
Generic,1,199
Normal,0,200
Exploits,1,201
Normal,0,202
DoS,1,203
Generic,1,204
Reconnaissance,1,205
Normal,0,206
Exploits,1,207
Normal,0,208
Fuzzers,1,209
Generic,1,210
Normal,0,211
Exploits,1,212
Generic,1,213
Normal,0,214
Generic,1,215
Normal,0,216
Normal,0,217
Generic,1,218
Normal,0,219
Backdoor,1,220
Generic,1,221
Normal,0,222
Normal,0,223
Exploits,1,224
Generic,1,225
Normal,0,226
DoS,1,227
Generic,1,228
Normal,0,229
Generic,1,230
Exploits,1,231
Generic,1,232
Fuzzers,1,233
Fuzzers,1,234
Generic,1,235
Normal,0,236
Generic,1,237
Normal,0,238
Generic,1,239
Normal,0,240
Reconnaissance,1,241
Normal,0,242
Exploits,1,243
Normal,0,244
Normal,0,245
Generic,1,246
Generic,1,247
Generic,1,248
Exploits,1,249
Exploits,1,250
Exploits,1,251
Generic,1,252
Exploits,1,253
Normal,0,254
Reconnaissance,1,255
Reconnaissance,1,256
Exploits,1,257
Exploits,1,258
Normal,0,259
Generic,1,260
Analysis,1,261
Fuzzers,1,262
Normal,0,263
DoS,1,264
Generic,1,265
Normal,0,266
DoS,1,267
Generic,1,268
Exploits,1,269
Exploits,1,270
Exploits,1,271
Fuzzers,1,272
Generic,1,273
Generic,1,274
Normal,0,275
Reconnaissance,1,276
Normal,0,277
Normal,0,278
Generic,1,279
Exploits,1,280
Fuzzers,1,281
Normal,0,282
Generic,1,283
Normal,0,284
Exploits,1,285
Exploits,1,286
Generic,1,287
DoS,1,288
Fuzzers,1,289
Normal,0,290
Generic,1,291
Normal,0,292
Generic,1,293
Generic,1,294
Generic,1,295
DoS,1,296
Analysis,1,297
Generic,1,298
Exploits,1,299
Normal,0,300
Reconnaissance,1,301
Generic,1,302
Reconnaissance,1,303
DoS,1,304
Generic,1,305
Normal,0,306
Normal,0,307
Exploits,1,308
Generic,1,309
Exploits,1,310
Generic,1,311
Normal,0,312
Generic,1,313
Normal,0,314
Exploits,1,315
Normal,0,316
Generic,1,317
Generic,1,318
Reconnaissance,1,319
Shellcode,1,320
Normal,0,321
Exploits,1,322
Exploits,1,323
Fuzzers,1,324
Exploits,1,325
Generic,1,326
Fuzzers,1,327
Normal,0,328
DoS,1,329
Exploits,1,330
Normal,0,331
Exploits,1,332
DoS,1,333
DoS,1,334
Fuzzers,1,335
Fuzzers,1,336
Normal,0,337
Fuzzers,1,338
Normal,0,339
DoS,1,340
Normal,0,341
Generic,1,342
Normal,0,343
Generic,1,344
Generic,1,345
Exploits,1,346
Generic,1,347
Normal,0,348
Normal,0,349
Fuzzers,1,350
Reconnaissance,1,351
DoS,1,352
Generic,1,353
Generic,1,354
Normal,0,355
Generic,1,356
Fuzzers,1,357
Normal,0,358
Reconnaissance,1,359
Normal,0,360
Fuzzers,1,361
Exploits,1,362
DoS,1,363
Generic,1,364
Exploits,1,365
Normal,0,366
Normal,0,367
Generic,1,368
Normal,0,369
Exploits,1,370
Exploits,1,371
Exploits,1,372
Exploits,1,373
Normal,0,374
Normal,0,375
Generic,1,376
Normal,0,377
Normal,0,378
Generic,1,379
Generic,1,380
Normal,0,381
Normal,0,382
Generic,1,383
Normal,0,384
Exploits,1,385
Generic,1,386
Normal,0,387
Fuzzers,1,388
Generic,1,389
Generic,1,390
Fuzzers,1,391
DoS,1,392
Normal,0,393
Exploits,1,394
Normal,0,395
Exploits,1,396
Exploits,1,397
Normal,0,398
Exploits,1,399
Backdoor,1,400
Normal,0,401
Exploits,1,402
Exploits,1,403
Exploits,1,404
Normal,0,405
Backdoor,1,406
DoS,1,407
DoS,1,408
Generic,1,409
Fuzzers,1,410
Exploits,1,411
Shellcode,1,412
Normal,0,413
Exploits,1,414
Reconnaissance,1,415
Normal,0,416
Exploits,1,417
Reconnaissance,1,418
Normal,0,419
Normal,0,420
Generic,1,421
Normal,0,422
DoS,1,423
Normal,0,424
Normal,0,425
Fuzzers,1,426
Normal,0,427
Normal,0,428
Backdoor,1,429
Normal,0,430
Exploits,1,431
Generic,1,432
Generic,1,433
Normal,0,434
Shellcode,1,435
Normal,0,436
Exploits,1,437
Normal,0,438
Normal,0,439
Normal,0,440
Normal,0,441
Normal,0,442
Fuzzers,1,443
Normal,0,444
DoS,1,445
Backdoor,1,446
Exploits,1,447
Normal,0,448
Normal,0,449
Fuzzers,1,450
Normal,0,451
Fuzzers,1,452
Generic,1,453
Generic,1,454
Generic,1,455
Normal,0,456
Exploits,1,457
Reconnaissance,1,458
Normal,0,459
Normal,0,460
Generic,1,461
Exploits,1,462
Exploits,1,463
Normal,0,464
Normal,0,465
Exploits,1,466
Generic,1,467
Fuzzers,1,468
Exploits,1,469
Normal,0,470
Reconnaissance,1,471
Normal,0,472
Generic,1,473
Normal,0,474
Fuzzers,1,475
Reconnaissance,1,476
DoS,1,477
Generic,1,478
Fuzzers,1,479
Generic,1,480
Generic,1,481
Exploits,1,482
Exploits,1,483
Exploits,1,484
Normal,0,485
Exploits,1,486
Generic,1,487
Exploits,1,488
Normal,0,489
Normal,0,490
Normal,0,491
Exploits,1,492
Exploits,1,493
Normal,0,494
Exploits,1,495
Exploits,1,496
Normal,0,497
Generic,1,498
Normal,0,499
DoS,1,500
Fuzzers,1,501
Normal,0,502
Normal,0,503
Generic,1,504
Reconnaissance,1,505
Generic,1,506
DoS,1,507
Fuzzers,1,508
Normal,0,509
Exploits,1,510
Normal,0,511
Fuzzers,1,512
Reconnaissance,1,513
DoS,1,514
Normal,0,515
Reconnaissance,1,516
Generic,1,517
Fuzzers,1,518
Generic,1,519
Exploits,1,520
Reconnaissance,1,521
Exploits,1,522
Normal,0,523
Exploits,1,524
DoS,1,525
Reconnaissance,1,526
Generic,1,527
Reconnaissance,1,528
Normal,0,529
Normal,0,530
Fuzzers,1,531
Analysis,1,532
Generic,1,533
Exploits,1,534
DoS,1,535
DoS,1,536
Exploits,1,537
Fuzzers,1,538
Normal,0,539
Generic,1,540
Generic,1,541
Fuzzers,1,542
Exploits,1,543
Exploits,1,544
Normal,0,545
Exploits,1,546
DoS,1,547
Generic,1,548
Normal,0,549
Fuzzers,1,550
Exploits,1,551
Exploits,1,552
Normal,0,553
Normal,0,554
Normal,0,555
DoS,1,556
Normal,0,557
Reconnaissance,1,558
Normal,0,559
Normal,0,560
Normal,0,561
Exploits,1,562
DoS,1,563
Generic,1,564
Normal,0,565
Exploits,1,566
Fuzzers,1,567
Fuzzers,1,568
Generic,1,569
Exploits,1,570
Reconnaissance,1,571
Normal,0,572
Normal,0,573
Fuzzers,1,574
Normal,0,575
Exploits,1,576
Fuzzers,1,577
Normal,0,578
Generic,1,579
Generic,1,580
Fuzzers,1,581
Fuzzers,1,582
Generic,1,583
Normal,0,584
Exploits,1,585
Normal,0,586
Generic,1,587
Normal,0,588
Generic,1,589
Exploits,1,590
Reconnaissance,1,591
Generic,1,592
DoS,1,593
Normal,0,594
Exploits,1,595
Generic,1,596
Reconnaissance,1,597
Exploits,1,598
Normal,0,599
Normal,0,600
Normal,0,601
Generic,1,602
Generic,1,603
Fuzzers,1,604
Normal,0,605
Normal,0,606
Fuzzers,1,607
Normal,0,608
Generic,1,609
Generic,1,610
Normal,0,611
Exploits,1,612
Generic,1,613
DoS,1,614
DoS,1,615
Reconnaissance,1,616
Exploits,1,617
Normal,0,618
Exploits,1,619
Normal,0,620
Normal,0,621
Fuzzers,1,622
Exploits,1,623
Fuzzers,1,624
Generic,1,625
Exploits,1,626
Generic,1,627
Normal,0,628
Reconnaissance,1,629
Normal,0,630
Generic,1,631
DoS,1,632
Normal,0,633
Exploits,1,634
Normal,0,635
Fuzzers,1,636
Generic,1,637
Generic,1,638
Normal,0,639
Normal,0,640
Normal,0,641
Normal,0,642
Exploits,1,643
Exploits,1,644
Fuzzers,1,645
Exploits,1,646
Normal,0,647
Fuzzers,1,648
Generic,1,649
Normal,0,650
Fuzzers,1,651
Generic,1,652
Fuzzers,1,653
Fuzzers,1,654
Shellcode,1,655
Exploits,1,656
Normal,0,657
Generic,1,658
Fuzzers,1,659
Normal,0,660
Exploits,1,661
Reconnaissance,1,662
Normal,0,663
Generic,1,664
Normal,0,665
Exploits,1,666
Normal,0,667
Generic,1,668
Reconnaissance,1,669
Generic,1,670
Exploits,1,671
Generic,1,672
DoS,1,673
Normal,0,674
Normal,0,675
Normal,0,676
Normal,0,677
Normal,0,678
Reconnaissance,1,679
Exploits,1,680
Generic,1,681
Exploits,1,682
Generic,1,683
Fuzzers,1,684
Generic,1,685
Fuzzers,1,686
Normal,0,687
Normal,0,688
Normal,0,689
Reconnaissance,1,690
Exploits,1,691
Exploits,1,692
Normal,0,693
Generic,1,694
Exploits,1,695
Exploits,1,696
Analysis,1,697
Normal,0,698
Fuzzers,1,699
Normal,0,700
Exploits,1,701
Generic,1,702
DoS,1,703
Exploits,1,704
Normal,0,705
Normal,0,706
Normal,0,707
Fuzzers,1,708
Generic,1,709
Exploits,1,710
Generic,1,711
Fuzzers,1,712
DoS,1,713
Normal,0,714
Fuzzers,1,715
Generic,1,716
Exploits,1,717
Generic,1,718
Generic,1,719
Generic,1,720
DoS,1,721
Generic,1,722
Exploits,1,723
Generic,1,724
Fuzzers,1,725
Exploits,1,726
Normal,0,727
Exploits,1,728
Generic,1,729
Fuzzers,1,730
Generic,1,731
Analysis,1,732
Generic,1,733
Normal,0,734
Generic,1,735
Reconnaissance,1,736
Exploits,1,737
Normal,0,738
Generic,1,739
Normal,0,740
Generic,1,741
Generic,1,742
Normal,0,743
Fuzzers,1,744
Fuzzers,1,745
Normal,0,746
Normal,0,747
Fuzzers,1,748
Normal,0,749
Generic,1,750
Generic,1,751
Generic,1,752
Normal,0,753
Generic,1,754
Backdoor,1,755
Generic,1,756
Exploits,1,757
Generic,1,758
Generic,1,759
Generic,1,760
Fuzzers,1,761
Normal,0,762
Normal,0,763
Generic,1,764
Normal,0,765
DoS,1,766
Normal,0,767
Normal,0,768
Normal,0,769
Normal,0,770
Generic,1,771
Generic,1,772
Generic,1,773
Generic,1,774
Generic,1,775
Normal,0,776
Normal,0,777
Exploits,1,778
Normal,0,779
Exploits,1,780
Fuzzers,1,781
Exploits,1,782
Analysis,1,783
Normal,0,784
Exploits,1,785
Normal,0,786
DoS,1,787
Reconnaissance,1,788
Fuzzers,1,789
Analysis,1,790
DoS,1,791
Exploits,1,792
DoS,1,793
Generic,1,794
DoS,1,795
Normal,0,796
Normal,0,797
Normal,0,798
Normal,0,799
Generic,1,800
Fuzzers,1,801
Generic,1,802
Reconnaissance,1,803
Normal,0,804
Backdoor,1,805
Exploits,1,806
Normal,0,807
Normal,0,808
Normal,0,809
Normal,0,810
Generic,1,811
Exploits,1,812
Reconnaissance,1,813
Generic,1,814
Backdoor,1,815
Normal,0,816
Fuzzers,1,817
Generic,1,818
Normal,0,819
Normal,0,820
Reconnaissance,1,821
DoS,1,822
Exploits,1,823
Exploits,1,824
Exploits,1,825
Analysis,1,826
Normal,0,827
Exploits,1,828
Reconnaissance,1,829
Normal,0,830
Generic,1,831
Generic,1,832
Normal,0,833
Exploits,1,834
Generic,1,835
Normal,0,836
Exploits,1,837
Exploits,1,838
Normal,0,839
Exploits,1,840
Generic,1,841
Exploits,1,842
Normal,0,843
DoS,1,844
Normal,0,845
Normal,0,846
Exploits,1,847
Normal,0,848
Exploits,1,849
Fuzzers,1,850
Normal,0,851
Generic,1,852
Exploits,1,853
DoS,1,854
Normal,0,855
Normal,0,856
Reconnaissance,1,857
Generic,1,858
Normal,0,859
Generic,1,860
Generic,1,861
Reconnaissance,1,862
Reconnaissance,1,863
Exploits,1,864
Normal,0,865
Normal,0,866
DoS,1,867
Generic,1,868
Exploits,1,869
Generic,1,870
Generic,1,871
Normal,0,872
Generic,1,873
Generic,1,874
Analysis,1,875
Normal,0,876
Generic,1,877
Backdoor,1,878
DoS,1,879
Fuzzers,1,880
Fuzzers,1,881
Normal,0,882
DoS,1,883
Generic,1,884
Normal,0,885
Fuzzers,1,886
Reconnaissance,1,887
Normal,0,888
Generic,1,889
DoS,1,890
Generic,1,891
Fuzzers,1,892
Exploits,1,893
Generic,1,894
Generic,1,895
DoS,1,896
Generic,1,897
Reconnaissance,1,898
Fuzzers,1,899
Fuzzers,1,900
Fuzzers,1,901
Generic,1,902
Exploits,1,903
Normal,0,904
Exploits,1,905
Normal,0,906
Normal,0,907
Generic,1,908
Exploits,1,909
DoS,1,910
Normal,0,911
Reconnaissance,1,912
Analysis,1,913
Fuzzers,1,914
Fuzzers,1,915
Generic,1,916
Normal,0,917
Normal,0,918
Normal,0,919
Exploits,1,920
Exploits,1,921
DoS,1,922
Normal,0,923
Normal,0,924
Generic,1,925
Normal,0,926
Normal,0,927
Exploits,1,928
Exploits,1,929
Exploits,1,930
Generic,1,931
Normal,0,932
Exploits,1,933
Normal,0,934
Generic,1,935
Exploits,1,936
Normal,0,937
Normal,0,938
Fuzzers,1,939
Generic,1,940
Fuzzers,1,941
Normal,0,942
Generic,1,943
Fuzzers,1,944
Exploits,1,945
Fuzzers,1,946
Generic,1,947
Normal,0,948
Exploits,1,949
Generic,1,950
Normal,0,951
Fuzzers,1,952
Exploits,1,953
Exploits,1,954
Normal,0,955
Fuzzers,1,956
Reconnaissance,1,957
Generic,1,958
Fuzzers,1,959
DoS,1,960
Normal,0,961
Fuzzers,1,962
Generic,1,963
Normal,0,964
Generic,1,965
Exploits,1,966
Generic,1,967
Normal,0,968
Normal,0,969
Normal,0,970
Normal,0,971
Fuzzers,1,972
Generic,1,973
Normal,0,974
Normal,0,975
Reconnaissance,1,976
Generic,1,977
Fuzzers,1,978
Normal,0,979
Normal,0,980
Normal,0,981
Generic,1,982
Exploits,1,983
Reconnaissance,1,984
Exploits,1,985
Normal,0,986
Generic,1,987
Exploits,1,988
Generic,1,989
Normal,0,990
Exploits,1,991
Normal,0,992
Normal,0,993
Generic,1,994
Generic,1,995
Generic,1,996
Fuzzers,1,997
Exploits,1,998
Normal,0,999
Normal,0,1000
Exploits,1,1001
Reconnaissance,1,1002
Fuzzers,1,1003
Generic,1,1004
Generic,1,1005
Fuzzers,1,1006
DoS,1,1007
Generic,1,1008
DoS,1,1009
Normal,0,1010
DoS,1,1011
Generic,1,1012
Generic,1,1013
Normal,0,1014
Generic,1,1015
Normal,0,1016
Fuzzers,1,1017
Exploits,1,1018
Normal,0,1019
Exploits,1,1020
Exploits,1,1021
Exploits,1,1022
Fuzzers,1,1023
Generic,1,1024
Fuzzers,1,1025
Normal,0,1026
Exploits,1,1027
Normal,0,1028
Exploits,1,1029
Exploits,1,1030
DoS,1,1031
Normal,0,1032
DoS,1,1033
Exploits,1,1034
Normal,0,1035
Normal,0,1036
Generic,1,1037
Normal,0,1038
Exploits,1,1039
Shellcode,1,1040
Exploits,1,1041
Normal,0,1042
Reconnaissance,1,1043
Exploits,1,1044
Generic,1,1045
Generic,1,1046
Normal,0,1047
Normal,0,1048
Normal,0,1049
Exploits,1,1050
Generic,1,1051
Normal,0,1052
Generic,1,1053
Analysis,1,1054
Generic,1,1055
Exploits,1,1056
Fuzzers,1,1057
Generic,1,1058
Exploits,1,1059
Generic,1,1060
Generic,1,1061
Exploits,1,1062
Generic,1,1063
Exploits,1,1064
Generic,1,1065
Exploits,1,1066
Exploits,1,1067
Normal,0,1068
Exploits,1,1069
Exploits,1,1070
Exploits,1,1071
Generic,1,1072
Normal,0,1073
Normal,0,1074
Generic,1,1075
Generic,1,1076
Exploits,1,1077
Generic,1,1078
DoS,1,1079
Normal,0,1080
Backdoor,1,1081
Normal,0,1082
Exploits,1,1083
Normal,0,1084
DoS,1,1085
DoS,1,1086
Fuzzers,1,1087
Generic,1,1088
Normal,0,1089
Normal,0,1090
Normal,0,1091
Fuzzers,1,1092
Fuzzers,1,1093
Generic,1,1094
Normal,0,1095
Reconnaissance,1,1096
Exploits,1,1097
Exploits,1,1098
Normal,0,1099
Normal,0,1100
Exploits,1,1101
DoS,1,1102
Exploits,1,1103
Exploits,1,1104
Normal,0,1105
Normal,0,1106
Backdoor,1,1107
Exploits,1,1108
Generic,1,1109
Normal,0,1110
Normal,0,1111
Generic,1,1112
Normal,0,1113
Exploits,1,1114
Exploits,1,1115
Generic,1,1116
Normal,0,1117
Normal,0,1118
Generic,1,1119
Exploits,1,1120
Exploits,1,1121
Normal,0,1122
Normal,0,1123
Normal,0,1124
Normal,0,1125
Generic,1,1126
Normal,0,1127
Normal,0,1128
Exploits,1,1129
Normal,0,1130
Normal,0,1131
Normal,0,1132
Generic,1,1133
Fuzzers,1,1134
Normal,0,1135
Generic,1,1136
Exploits,1,1137
Exploits,1,1138
Exploits,1,1139
Normal,0,1140
Generic,1,1141
Normal,0,1142
Exploits,1,1143
Generic,1,1144
Reconnaissance,1,1145
Generic,1,1146
Generic,1,1147
Reconnaissance,1,1148
Fuzzers,1,1149
Reconnaissance,1,1150
Normal,0,1151
Exploits,1,1152
Generic,1,1153
Normal,0,1154
Generic,1,1155
Exploits,1,1156
Generic,1,1157
Normal,0,1158
Generic,1,1159
Normal,0,1160
Normal,0,1161
DoS,1,1162
Normal,0,1163
Generic,1,1164
Normal,0,1165
Fuzzers,1,1166
Normal,0,1167
Normal,0,1168
Exploits,1,1169
Generic,1,1170
Normal,0,1171
Exploits,1,1172
Generic,1,1173
Normal,0,1174
Normal,0,1175
Generic,1,1176
DoS,1,1177
Generic,1,1178
Generic,1,1179
DoS,1,1180
Exploits,1,1181
Normal,0,1182
Exploits,1,1183
Generic,1,1184
Fuzzers,1,1185
Generic,1,1186
Normal,0,1187
Exploits,1,1188
Normal,0,1189
Normal,0,1190
Fuzzers,1,1191
Normal,0,1192
DoS,1,1193
Fuzzers,1,1194
Analysis,1,1195
Fuzzers,1,1196
Normal,0,1197
Reconnaissance,1,1198
Normal,0,1199
Normal,0,1200
Analysis,1,1201
Normal,0,1202
Exploits,1,1203
Generic,1,1204
Normal,0,1205
Generic,1,1206
Exploits,1,1207
Generic,1,1208
Fuzzers,1,1209
Normal,0,1210
Normal,0,1211
Normal,0,1212
Generic,1,1213
Normal,0,1214
Exploits,1,1215
Normal,0,1216
Reconnaissance,1,1217
Fuzzers,1,1218
Generic,1,1219
Exploits,1,1220
Exploits,1,1221
Exploits,1,1222
Normal,0,1223
Exploits,1,1224
Fuzzers,1,1225
Normal,0,1226
Fuzzers,1,1227
Normal,0,1228
Exploits,1,1229
Normal,0,1230
Normal,0,1231
Generic,1,1232
Reconnaissance,1,1233
Normal,0,1234
Exploits,1,1235
Normal,0,1236
Generic,1,1237
Exploits,1,1238
Normal,0,1239
Reconnaissance,1,1240
Fuzzers,1,1241
Normal,0,1242
Shellcode,1,1243
Generic,1,1244
Normal,0,1245
Normal,0,1246
Normal,0,1247
Reconnaissance,1,1248
DoS,1,1249
Normal,0,1250
Generic,1,1251
Normal,0,1252
Exploits,1,1253
Fuzzers,1,1254
Normal,0,1255
Normal,0,1256
Exploits,1,1257
Reconnaissance,1,1258
Generic,1,1259
DoS,1,1260
Normal,0,1261
Fuzzers,1,1262
Fuzzers,1,1263
Reconnaissance,1,1264
Generic,1,1265
Normal,0,1266
Reconnaissance,1,1267
Generic,1,1268
Generic,1,1269
Fuzzers,1,1270
Exploits,1,1271
DoS,1,1272
Generic,1,1273
Analysis,1,1274
Generic,1,1275
DoS,1,1276
Generic,1,1277
Exploits,1,1278
Fuzzers,1,1279
Normal,0,1280
Generic,1,1281
Generic,1,1282
Normal,0,1283
Normal,0,1284
Backdoor,1,1285
Normal,0,1286
Backdoor,1,1287
Exploits,1,1288
Generic,1,1289
Fuzzers,1,1290
DoS,1,1291
Normal,0,1292
Normal,0,1293
Normal,0,1294
Fuzzers,1,1295
Normal,0,1296
Normal,0,1297
Normal,0,1298
Shellcode,1,1299
Backdoor,1,1300
Generic,1,1301
Normal,0,1302
Exploits,1,1303
Normal,0,1304
DoS,1,1305
Exploits,1,1306
Exploits,1,1307
DoS,1,1308
Exploits,1,1309
Generic,1,1310
Exploits,1,1311
Exploits,1,1312
Normal,0,1313
Generic,1,1314
Generic,1,1315
Exploits,1,1316
Exploits,1,1317
Exploits,1,1318
Fuzzers,1,1319
Normal,0,1320
Normal,0,1321
Exploits,1,1322
Fuzzers,1,1323
Fuzzers,1,1324
Fuzzers,1,1325
Exploits,1,1326
Generic,1,1327
Normal,0,1328
Generic,1,1329
Normal,0,1330
Exploits,1,1331
DoS,1,1332
Exploits,1,1333
Generic,1,1334
Exploits,1,1335
Normal,0,1336
Fuzzers,1,1337
Generic,1,1338
Normal,0,1339
Normal,0,1340
Normal,0,1341
Normal,0,1342
DoS,1,1343
Normal,0,1344
Reconnaissance,1,1345
Normal,0,1346
Generic,1,1347
Normal,0,1348
Exploits,1,1349
Normal,0,1350
Generic,1,1351
Normal,0,1352
Fuzzers,1,1353
Exploits,1,1354
Analysis,1,1355
Exploits,1,1356
Exploits,1,1357
Generic,1,1358
Reconnaissance,1,1359
Fuzzers,1,1360
Normal,0,1361
Generic,1,1362
Exploits,1,1363
Generic,1,1364
Fuzzers,1,1365
Exploits,1,1366
Generic,1,1367
Generic,1,1368
Exploits,1,1369
Normal,0,1370
Generic,1,1371
Exploits,1,1372
DoS,1,1373
Analysis,1,1374
Exploits,1,1375
Exploits,1,1376
Reconnaissance,1,1377
Normal,0,1378
Reconnaissance,1,1379
Normal,0,1380
Normal,0,1381
Fuzzers,1,1382
Normal,0,1383
Normal,0,1384
Generic,1,1385
Reconnaissance,1,1386
Reconnaissance,1,1387
Generic,1,1388
Normal,0,1389
DoS,1,1390
Exploits,1,1391
Exploits,1,1392
Normal,0,1393
Generic,1,1394
Normal,0,1395
Reconnaissance,1,1396
Normal,0,1397
Backdoor,1,1398
Generic,1,1399
Generic,1,1400
Fuzzers,1,1401
Generic,1,1402
Generic,1,1403
Normal,0,1404
Normal,0,1405
Normal,0,1406
Reconnaissance,1,1407
Fuzzers,1,1408
Exploits,1,1409
Exploits,1,1410
Normal,0,1411
DoS,1,1412
Exploits,1,1413
Normal,0,1414
Generic,1,1415
Generic,1,1416
Normal,0,1417
Reconnaissance,1,1418
Exploits,1,1419
Reconnaissance,1,1420
Generic,1,1421
Exploits,1,1422
Exploits,1,1423
Exploits,1,1424
Generic,1,1425
Exploits,1,1426
Normal,0,1427
Fuzzers,1,1428
Normal,0,1429
Normal,0,1430
DoS,1,1431
Reconnaissance,1,1432
Normal,0,1433
Fuzzers,1,1434
Backdoor,1,1435
Fuzzers,1,1436
Generic,1,1437
Reconnaissance,1,1438
Generic,1,1439
Normal,0,1440
Analysis,1,1441
Normal,0,1442
Normal,0,1443
Reconnaissance,1,1444
Exploits,1,1445
Exploits,1,1446
Normal,0,1447
Generic,1,1448
Normal,0,1449
Exploits,1,1450
Generic,1,1451
Normal,0,1452
DoS,1,1453
Generic,1,1454
Normal,0,1455
Exploits,1,1456
DoS,1,1457
Generic,1,1458
Exploits,1,1459
Fuzzers,1,1460
Exploits,1,1461
Normal,0,1462
Exploits,1,1463
Exploits,1,1464
Generic,1,1465
Normal,0,1466
Normal,0,1467
Normal,0,1468
Fuzzers,1,1469
Normal,0,1470
Fuzzers,1,1471
Exploits,1,1472
Normal,0,1473
Fuzzers,1,1474
Reconnaissance,1,1475
Fuzzers,1,1476
Generic,1,1477
Fuzzers,1,1478
Generic,1,1479
Normal,0,1480
Normal,0,1481
Generic,1,1482
Normal,0,1483
Exploits,1,1484
Normal,0,1485
Generic,1,1486
Fuzzers,1,1487
DoS,1,1488
Generic,1,1489
Fuzzers,1,1490
Generic,1,1491
Generic,1,1492
Fuzzers,1,1493
Generic,1,1494
Normal,0,1495
Generic,1,1496
Normal,0,1497
Exploits,1,1498
Normal,0,1499
Normal,0,1500
Generic,1,1501
Exploits,1,1502
Normal,0,1503
Fuzzers,1,1504
Exploits,1,1505
Normal,0,1506
Exploits,1,1507
DoS,1,1508
Generic,1,1509
Normal,0,1510
Exploits,1,1511
Fuzzers,1,1512
DoS,1,1513
Fuzzers,1,1514
Exploits,1,1515
Normal,0,1516
Normal,0,1517
Normal,0,1518
Generic,1,1519
Exploits,1,1520
Normal,0,1521
Normal,0,1522
Normal,0,1523
Normal,0,1524
DoS,1,1525
Normal,0,1526
Normal,0,1527
Generic,1,1528
